Board Number,Inversions,Algorithm,Solved,Total States Viewed,Processing Time
72,8,ASCHEB,False,23234,30.003378
72,8,ASLINCON,True,2571,0.268982
73,8,IDDFS,True,120516,3.529896
73,8,BFS,True,120516,7.126044
73,8,ASMAN,True,273,0.007638
73,8,ASEUC,True,1057,0.065828
73,8,ASCHEB,True,1393,0.091466
73,8,ASLINCON,True,187,0.006569
74,8,IDDFS,True,30020,0.88653
74,8,BFS,True,30020,1.438712
74,8,ASMAN,True,86,0.001587
74,8,ASEUC,True,414,0.017753
74,8,ASCHEB,True,559,0.027477
74,8,ASLINCON,True,134,0.003185
75,14,IDDFS,False,1013896,30.001063
75,14,BFS,False,516465,31.658894
75,14,ASMAN,True,2539,0.245961
75,14,ASEUC,True,17297,12.341061
75,14,ASCHEB,False,23401,30.001682
75,14,ASLINCON,True,4689,0.772132
76,12,IDDFS,False,1039242,30.000866
76,12,BFS,False,552204,30.000329
76,12,ASMAN,True,973,0.04858
76,12,ASEUC,True,4790,0.811305
76,12,ASCHEB,True,6667,1.443911
76,12,ASLINCON,True,424,0.019053
77,12,IDDFS,False,1032560,30.000985
77,12,BFS,False,503899,30.600371
77,12,ASMAN,True,4628,0.739413
77,12,ASEUC,False,24200,30.000029
77,12,ASCHEB,False,24230,30.000949
77,12,ASLINCON,True,6169,1.26575
78,18,IDDFS,False,1049590,30.000374
78,18,BFS,False,556415,31.685031
78,18,ASMAN,True,7185,1.630912
78,18,ASEUC,False,24619,30.00184
78,18,ASCHEB,False,24233,30.001461
78,18,ASLINCON,True,2537,0.269721
79,10,IDDFS,True,8325,0.285068
79,10,BFS,True,8325,0.357818
79,10,ASMAN,True,86,0.002602
79,10,ASEUC,True,284,0.012053
79,10,ASCHEB,True,375,0.015056
79,10,ASLINCON,True,78,0.002991
80,2,IDDFS,True,29,0.001413
80,2,BFS,True,29,0.001375
80,2,ASMAN,True,10,0.0
80,2,ASEUC,True,12,0.0
80,2,ASCHEB,True,14,0.001275
80,2,ASLINCON,True,10,0.000508
81,8,IDDFS,True,34628,1.079663
81,8,BFS,True,34628,1.401476
81,8,ASMAN,True,92,0.002999
81,8,ASEUC,True,382,0.017689
81,8,ASCHEB,True,533,0.02203
81,8,ASLINCON,True,96,0.004009
82,20,IDDFS,False,1017477,30.000535
82,20,BFS,False,528081,31.358019
82,20,ASMAN,True,11566,4.46317
82,20,ASEUC,False,22978,30.002108
82,20,ASCHEB,False,23242,30.000073
82,20,ASLINCON,True,4992,0.883396
83,8,IDDFS,False,1027977,30.000702
83,8,BFS,False,548873,30.000686
83,8,ASMAN,True,703,0.031902
83,8,ASEUC,True,3210,0.404018
83,8,ASCHEB,True,4542,0.753066
83,8,ASLINCON,True,468,0.020615
84,4,IDDFS,True,4,0.0
84,4,BFS,True,4,0.0
84,4,ASMAN,True,4,0.0
84,4,ASEUC,True,4,0.0
84,4,ASCHEB,True,4,0.0
84,4,ASLINCON,True,4,0.0
85,20,IDDFS,False,1026282,30.000527
85,20,BFS,False,518272,30.000734
85,20,ASMAN,True,984,0.055854
85,20,ASEUC,True,6237,1.333547
85,20,ASCHEB,True,9472,3.098748
85,20,ASLINCON,True,561,0.028731
86,12,IDDFS,False,1041078,30.000518
86,12,BFS,False,510189,30.000806
86,12,ASMAN,False,23937,30.003658
86,12,ASEUC,False,23275,30.002782
86,12,ASCHEB,False,22796,30.003181
86,12,ASLINCON,False,23503,30.00109
87,10,IDDFS,True,93761,2.73891
87,10,BFS,True,93761,4.48638
87,10,ASMAN,True,237,0.007432
87,10,ASEUC,True,786,0.038674
87,10,ASCHEB,True,1037,0.057743
87,10,ASLINCON,True,117,0.00457
88,20,IDDFS,False,1015848,30.00018
88,20,BFS,False,499122,30.000232
88,20,ASMAN,True,5201,0.933248
88,20,ASEUC,False,23407,30.001665
88,20,ASCHEB,False,22855,30.001982
88,20,ASLINCON,True,2126,0.204472
89,10,IDDFS,True,8325,0.25533
89,10,BFS,True,8325,0.354179
89,10,ASMAN,True,80,0.002533
89,10,ASEUC,True,283,0.010681
89,10,ASCHEB,True,375,0.012104
89,10,ASLINCON,True,73,0.001997
90,8,IDDFS,True,567873,16.842636
90,8,BFS,False,529561,30.000309
90,8,ASMAN,True,461,0.016714
90,8,ASEUC,True,1890,0.156361
90,8,ASCHEB,True,2671,0.283837
90,8,ASLINCON,True,351,0.014955
